sub,cond,answer,recogcxt,recallcxt,subgroup,lesion,picid,block,response,RT,original_update,original_lure,update_lure,updatedistraw,finalcall_O,finalcall(raw)_U,finalcall_lure,finalcallCXT,finalcallRT,recogcxtcond,luredistfix,updaterecogMed,distfix,<180
801,active,Loc2,Cxt2,Cxt0,young,control,63,1,2,1.37E+03,5.48E+02,5.48E+02,5.48E+02,5.48E+02,6.43E+02,9.63E+01,5.86E+02,3,5.08E+03,9,90,0,1,0
801,active,Loc1,Cxt1,Cxt1,young,control,34,1,1,6.50E+02,1.10E+02,1.10E+02,1.09E+02,1.10E+02,8.42E+01,1.91E+02,1.50E+02,6,4.58E+03,10,90,1,1,1
801,active,Loc2,Cxt1,Cxt0,young,control,39,1,2,7.50E+02,1.07E+02,1.08E+02,1.08E+02,1.07E+02,8.72E+01,3.09E+01,7.92E+01,3,5.35E+03,10,90,1,1,1
801,active,Loc2,Cxt2,Cxt0,young,control,55,1,2,1.22E+03,1.36E+02,1.35E+02,1.35E+02,1.36E+02,1.17E+02,1.92E+01,1.24E+02,3,4.17E+03,9,90,1,1,1
801,active,Loc2,Cxt2,Cxt1,young,control,17,1,2,2.18E+03,2.72E+02,2.72E+02,2.72E+02,2.72E+02,2.89E+02,2.00E+02,4.35E+02,6,5.00E+03,9,90,0,1,0
801,active,LocN,Cxt2,Cxt0,young,control,91,1,3,7.83E+02,2.37E+02,2.38E+02,2.37E+02,2.37E+02,3.28E+02,2.05E+02,1.38E+02,3,6.60E+03,9,90,0,1,0
801,active,Loc2,Cxt1,Cxt0,young,control,43,1,2,1.18E+03,2.54E+02,2.53E+02,2.53E+02,2.54E+02,3.08E+02,59,2.64E+02,3,3.82E+03,10,90,0,1,0
801,active,LocN,Cxt1,Cxt0,young,control,22,1,3,1.87E+03,2.70E+02,2.71E+02,2.71E+02,2.70E+02,3.69E+02,1.89E+02,1.93E+02,3,3.72E+03,10,90,0,1,0
801,active,LocN,Cxt2,Cxt1,young,control,26,1,3,3.27E+03,2.88E+02,2.89E+02,2.89E+02,2.88E+02,2.24E+02,3.53E+02,1.32E+02,6,3.10E+03,9,90,0,1,0
801,active,Loc2,Cxt1,Cxt1,young,control,9,1,2,1.23E+03,3.85E+02,3.85E+02,3.86E+02,3.85E+02,4.28E+02,1.31E+02,2.98E+02,6,4.03E+03,10,90,0,1,0
801,active,Loc1,Cxt2,Cxt0,young,control,16,1,1,2.35E+03,1.26E+02,1.26E+02,1.26E+02,1.26E+02,1.12E+02,5.58E+01,7.05E+01,3,3.88E+03,9,90,1,1,1
801,active,Loc2,Cxt1,Cxt1,young,control,66,1,2,9.00E+02,3.91E+02,3.92E+02,3.91E+02,3.91E+02,4.27E+02,3.71E+01,4.02E+02,6,4.38E+03,10,90,0,1,0
801,active,Loc1,Cxt1,Cxt0,young,control,56,1,1,2.67E+03,1.35E+02,1.35E+02,1.35E+02,1.35E+02,1.30E+02,2.44E+01,1.12E+02,3,1.75E+04,10,90,1,1,1
801,active,Loc2,Cxt2,Cxt0,young,control,84,1,2,6.50E+02,3.69E+02,3.69E+02,3.70E+02,3.69E+02,3.18E+02,6.26E+01,3.77E+02,3,5.98E+03,9,90,0,1,0
801,active,Loc2,Cxt2,Cxt1,young,control,85,1,2,9.33E+02,9.73E+01,9.73E+01,9.71E+01,9.73E+01,3.44E+01,9.52E+01,6.50E+01,6,3.60E+03,9,90,1,1,1
801,active,Loc1,Cxt1,Cxt1,young,control,53,1,1,6.17E+02,2.34E+02,2.34E+02,2.34E+02,2.34E+02,9.64E+01,3.20E+02,3.22E+02,6,5.78E+03,10,90,0,1,0
801,active,Loc2,Cxt2,Cxt1,young,control,69,1,2,2.70E+03,1.96E+02,1.97E+02,1.96E+02,1.96E+02,3.43E+02,2.93E+02,1.46E+02,6,6.72E+03,9,90,0,1,0
801,active,LocN,Cxt1,Cxt1,young,control,59,1,3,6.67E+02,3.49E+02,3.48E+02,3.48E+02,3.49E+02,3.85E+02,1.77E+02,2.09E+02,6,4.55E+03,10,90,0,1,0
801,active,Loc2,Cxt2,Cxt0,young,control,11,1,2,8.67E+02,2.15E+02,2.15E+02,2.15E+02,2.15E+02,1.84E+02,1.55E+02,6.14E+01,3,4.35E+03,9,90,0,1,0
801,active,Loc2,Cxt1,Cxt1,young,control,79,1,2,1.08E+03,1.45E+02,1.45E+02,1.44E+02,1.45E+02,1.58E+02,1.18E+02,3.94E+01,6,3.32E+03,10,90,1,1,1
801,active,Loc1,Cxt2,Cxt0,young,control,27,2,1,5.93E+03,3.52E+02,3.51E+02,3.52E+02,3.52E+02,1.51E+02,2.21E+02,2.48E+02,7,4.52E+03,9,90,0,1,0
801,active,LocN,Cxt2,Cxt1,young,control,64,2,3,2.23E+03,1.23E+02,1.22E+02,1.23E+02,1.23E+02,1.04E+02,8.51E+01,1.78E+02,2,3.67E+03,9,90,1,1,1
801,active,Loc2,Cxt2,Cxt0,young,control,51,2,2,1.82E+03,9.43E+01,9.46E+01,9.40E+01,9.43E+01,8.38E+01,1.12E+02,3.01E+01,7,3.55E+03,9,90,1,1,1
801,active,Loc2,Cxt1,Cxt1,young,control,88,2,2,1.38E+03,9.75E+01,9.71E+01,9.76E+01,9.75E+01,1.36E+02,6.32E+01,7.95E+01,2,3.73E+03,10,90,1,1,1
801,active,Loc2,Cxt2,Cxt1,young,control,77,2,2,8.00E+02,2.95E+02,2.96E+02,2.95E+02,2.95E+02,8.49E+01,2.54E+02,2.12E+02,2,3.38E+03,9,90,0,1,0
801,active,Loc2,Cxt1,Cxt0,young,control,37,2,2,8.00E+02,1.34E+02,1.35E+02,1.35E+02,1.34E+02,7.57E+01,6.04E+01,1.06E+02,7,3.55E+03,10,90,1,1,1
801,active,LocN,Cxt1,Cxt0,young,control,36,2,3,4.30E+03,5.05E+02,5.05E+02,5.04E+02,5.05E+02,2.75E+02,2.88E+02,3.13E+02,7,4.37E+03,10,90,0,1,0
801,active,Loc2,Cxt1,Cxt1,young,control,2,2,2,8.17E+02,9.26E+01,9.22E+01,9.19E+01,9.26E+01,9.52E+01,4.30E+01,1.28E+02,2,3.22E+03,10,90,1,1,1
801,active,Loc2,Cxt2,Cxt0,young,control,92,2,2,8.50E+02,1.75E+02,1.76E+02,1.75E+02,1.75E+02,1.31E+02,5.79E+01,1.88E+02,7,3.98E+03,9,90,1,1,1
801,active,Loc2,Cxt2,Cxt0,young,control,57,2,2,9.50E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.40E+02,4.41E+01,1.02E+02,7,3.13E+03,9,90,1,1,1
801,active,Loc1,Cxt1,Cxt1,young,control,52,2,1,7.33E+02,1.23E+02,1.23E+02,1.22E+02,1.23E+02,7.88E+01,7.21E+01,1.50E+02,2,2.32E+03,10,90,1,1,1
801,active,Loc2,Cxt1,Cxt1,young,control,14,2,2,8.67E+02,9.21E+01,9.22E+01,9.29E+01,9.21E+01,1.91E+02,1.17E+02,1.25E+02,2,4.92E+03,10,90,1,1,1
801,active,Loc1,Cxt1,Cxt0,young,control,19,2,1,1.00E+03,2.58E+02,2.57E+02,2.57E+02,2.58E+02,2.38E+02,20,2.52E+02,7,2.55E+03,10,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,76,3,1,1.40E+03,9.60E+01,9.63E+01,9.70E+01,8.96E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc2,Cxt1,notest,young,control,20,3,2,7.83E+02,9.90E+01,100,9.96E+01,8.99E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc2,Cxt2,notest,young,control,54,3,2,7.67E+02,9.28E+01,9.36E+01,9.24E+01,9.28E+01,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,94,3,1,1.12E+03,9.08E+01,9.11E+01,9.00E+01,9.08E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc1,Cxt2,notest,young,control,41,3,1,9.00E+02,1.32E+02,1.32E+02,1.33E+02,8.98E+01,0,0,0,0,0,9,90,0,1,1
801,passive,Loc1,Cxt2,notest,young,control,5,3,1,8.33E+02,1.23E+02,1.23E+02,1.23E+02,1.23E+02,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,24,3,1,8.50E+02,2.56E+02,2.56E+02,2.56E+02,2.56E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,75,3,1,1.00E+03,9.69E+01,9.70E+01,9.71E+01,9.69E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,49,3,1,5.83E+02,1.23E+02,1.22E+02,1.22E+02,1.23E+02,0,0,0,0,0,10,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,50,3,1,7.00E+02,1.33E+02,1.34E+02,1.35E+02,1.33E+02,0,0,0,0,0,10,90,0,1,1
801,passive,Loc2,Cxt2,notest,young,control,68,3,2,2.25E+03,1.00E+02,1.01E+02,1.01E+02,8.90E+01,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,13,3,1,8.83E+02,9.43E+01,9.52E+01,9.39E+01,9.43E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc1,Cxt2,notest,young,control,70,3,1,6.50E+02,1.05E+02,1.04E+02,1.05E+02,1.05E+02,0,0,0,0,0,9,90,1,1,1
801,passive,LocN,Cxt1,notest,young,control,87,3,3,1.00E+03,9.02E+01,8.94E+01,8.93E+01,9.02E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc2,Cxt2,notest,young,control,95,3,2,1.52E+03,9.01E+01,9.08E+01,9.04E+01,9.01E+01,0,0,0,0,0,9,90,1,1,1
801,passive,Loc2,Cxt2,notest,young,control,29,3,2,1.28E+03,9.06E+01,9.09E+01,9.10E+01,9.06E+01,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt2,notest,young,control,67,3,1,1.58E+03,2.96E+02,2.97E+02,2.96E+02,2.96E+02,0,0,0,0,0,9,90,0,1,0
801,passive,Loc1,Cxt2,notest,young,control,1,3,1,7.50E+02,5.05E+02,5.05E+02,4.27E+02,5.05E+02,0,0,0,0,0,9,90,0,1,0
801,passive,LocN,Cxt1,notest,young,control,30,3,3,8.17E+02,9.08E+01,8.97E+01,9.04E+01,8.98E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc1,Cxt2,notest,young,control,86,3,1,1.40E+03,1.75E+02,1.74E+02,1.74E+02,1.75E+02,0,0,0,0,0,9,90,0,1,1
801,passive,Loc1,Cxt2,notest,young,control,18,3,1,1.07E+03,1.04E+02,1.04E+02,1.05E+02,8.94E+01,0,0,0,0,0,9,90,1,1,1
801,passive,LocN,Cxt1,notest,young,control,31,3,3,6.67E+02,9.04E+01,9.10E+01,9.06E+01,9.04E+01,0,0,0,0,0,10,90,1,1,1
801,passive,LocN,Cxt2,notest,young,control,71,3,3,1.17E+03,9.27E+01,9.31E+01,9.22E+01,9.27E+01,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,28,3,1,6.17E+02,3.51E+02,3.52E+02,3.24E+02,3.51E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,96,4,1,1.13E+03,2.52E+02,2.52E+02,2.52E+02,2.52E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc2,Cxt1,notest,young,control,89,4,2,7.17E+02,2.34E+02,2.33E+02,2.33E+02,2.34E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,60,4,1,6.67E+02,1.34E+02,1.33E+02,1.34E+02,1.34E+02,0,0,0,0,0,10,90,0,1,1
801,passive,LocN,Cxt2,notest,young,control,12,4,3,8.00E+02,1.37E+02,1.37E+02,1.37E+02,1.37E+02,0,0,0,0,0,9,90,0,1,1
801,passive,Loc1,Cxt2,notest,young,control,33,4,1,7.50E+02,9.03E+01,9.10E+01,9.01E+01,9.03E+01,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,3,4,1,1.38E+03,1.95E+02,1.95E+02,1.96E+02,1.95E+02,0,0,0,0,0,10,90,0,1,0
801,passive,LocN,Cxt2,notest,young,control,8,4,3,7.33E+02,1.11E+02,1.11E+02,1.10E+02,1.11E+02,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt2,notest,young,control,48,4,1,8.00E+02,3.69E+02,3.69E+02,3.70E+02,3.69E+02,0,0,0,0,0,9,90,0,1,0
801,passive,Loc1,Cxt2,notest,young,control,74,4,1,5.50E+02,2.72E+02,2.73E+02,2.72E+02,2.72E+02,0,0,0,0,0,9,90,0,1,0
801,passive,Loc1,Cxt2,notest,young,control,72,4,1,6.50E+02,3.49E+02,3.49E+02,3.49E+02,3.49E+02,0,0,0,0,0,9,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,83,4,1,6.33E+02,2.70E+02,2.70E+02,2.70E+02,2.70E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,62,4,1,6.50E+02,5.46E+02,5.45E+02,5.46E+02,5.46E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,23,4,1,7.17E+02,3.84E+02,3.84E+02,3.85E+02,3.84E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc1,Cxt1,notest,young,control,58,4,1,1.02E+03,2.88E+02,2.87E+02,2.87E+02,2.88E+02,0,0,0,0,0,10,90,0,1,0
801,passive,Loc1,Cxt2,notest,young,control,65,4,1,5.17E+02,1.43E+02,1.43E+02,1.44E+02,1.43E+02,0,0,0,0,0,9,90,0,1,1
801,passive,Loc1,Cxt1,notest,young,control,10,4,1,7.50E+02,9.04E+01,9.13E+01,9.10E+01,9.04E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc2,Cxt1,notest,young,control,80,4,2,6.67E+02,1.27E+02,1.27E+02,1.26E+02,1.27E+02,0,0,0,0,0,10,90,0,1,1
801,passive,Loc1,Cxt2,notest,young,control,73,4,1,6.33E+02,9.04E+01,9.13E+01,9.10E+01,9.04E+01,0,0,0,0,0,9,90,1,1,1
801,passive,Loc1,Cxt1,notest,young,control,47,4,1,9.00E+02,9.58E+01,9.53E+01,9.63E+01,9.58E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc1,Cxt2,notest,young,control,81,4,1,9.50E+02,2.37E+02,2.37E+02,2.36E+02,2.37E+02,0,0,0,0,0,9,90,0,1,0
801,passive,Loc2,Cxt1,notest,young,control,7,4,2,9.67E+02,9.00E+01,8.94E+01,8.91E+01,9.00E+01,0,0,0,0,0,10,90,1,1,1
801,passive,Loc1,Cxt2,notest,young,control,82,4,1,8.83E+02,2.14E+02,2.15E+02,2.15E+02,2.14E+02,0,0,0,0,0,9,90,0,1,0
801,passive,Loc1,Cxt2,notest,young,control,90,4,1,6.33E+02,3.90E+02,3.90E+02,3.91E+02,3.90E+02,0,0,0,0,0,9,90,0,1,0
801,passive,Loc2,Cxt2,notest,young,control,15,4,2,1.55E+03,1.07E+02,1.08E+02,1.07E+02,1.07E+02,0,0,0,0,0,9,90,1,1,1
801,active,Loc2,Cxt1,Cxt0,young,control,93,1,2,2.48E+03,1.10E+02,1.10E+02,1.10E+02,3.33E+01,1.01E+02,7.47E+01,1.34E+02,3,4.63E+03,10,90,99,0,1
801,active,Loc2,Cxt1,Cxt0,young,control,61,1,2,9.17E+02,1.39E+02,1.39E+02,1.38E+02,6.76E+01,8.72E+01,3.03E+01,1.54E+02,3,4.62E+03,10,90,99,0,1
801,active,Loc1,Cxt2,Cxt1,young,control,38,1,1,6.50E+02,1.71E+02,1.71E+02,1.70E+02,2.42E+01,3.81E+01,6.22E+01,1.37E+02,6,4.47E+03,9,90,99,0,1
801,active,Loc1,Cxt2,Cxt1,young,control,44,1,1,1.18E+03,9.21E+01,9.26E+01,9.21E+01,9.00E+01,9.12E+01,1.02E+02,1.91E+01,6,4.40E+03,9,90,99,0,1
801,active,Loc1,Cxt2,Cxt1,young,control,4,2,1,1.18E+03,9.30E+01,9.34E+01,9.34E+01,2.77E+01,3.95E+01,1.70E+01,5.86E+01,2,4.60E+03,9,90,99,0,1
801,active,Loc1,Cxt1,Cxt1,young,control,35,2,1,6.17E+02,1.27E+02,1.27E+02,1.27E+02,2.04E+01,1.90E+01,2.98E+01,1.41E+02,2,6.65E+03,10,90,99,0,1
801,active,Loc1,Cxt1,Cxt0,young,control,40,2,1,7.00E+02,1.27E+02,1.28E+02,1.27E+02,3.49E+01,1.64E+01,2.45E+01,1.34E+02,7,3.62E+03,10,90,99,0,1
801,active,Loc1,Cxt2,Cxt1,young,control,78,2,1,1.05E+03,9.75E+01,9.71E+01,9.76E+01,3.26E+01,7.50E+01,6.26E+01,1.19E+02,2,3.20E+03,9,90,99,0,1
801,active,LocN,Cxt1,Cxt0,young,control,45,2,3,7.67E+02,1.11E+02,1.13E+02,1.12E+02,2.97E+01,5.04E+01,6.11E+01,6.82E+01,7,3.53E+03,10,90,99,0,1
