sub,cond,answer,cxt,picid,block,response,RT,original_update,original_lure,update_lure,updatedistraw,cxtcond,luredistfix,updaterecogMed,distfix
401,active,update,Cxt B,141,1,2,49,2.57E+02,2.57E+02,2.57E+02,2.57E+02,9,90,0,1
401,active,original,Cxt A,16,1,1,95,3.64E+02,3.63E+02,3.63E+02,3.64E+02,10,90,0,1
401,active,original,Cxt A,140,1,1,32,1.01E+02,1.02E+02,1.01E+02,1.01E+02,10,90,1,1
401,active,update,Cxt A,78,1,2,33,6.10E+02,6.11E+02,6.10E+02,6.10E+02,10,90,0,1
401,active,update,Cxt B,168,1,2,49,3.46E+02,3.46E+02,3.45E+02,3.46E+02,9,90,0,1
401,active,original,Cxt A,88,1,1,28,1.83E+02,1.83E+02,1.83E+02,1.83E+02,10,90,1,1
401,active,original,Cxt B,101,1,1,29,5.09E+02,5.10E+02,5.70E+02,5.09E+02,9,90,0,1
401,active,original,Cxt A,81,1,1,42,6.65E+02,6.66E+02,6.66E+02,6.65E+02,10,90,0,1
401,active,original,Cxt B,28,1,1,61,7.40E+02,7.39E+02,7.40E+02,7.40E+02,9,90,0,1
401,active,original,Cxt B,2,1,1,72,1.26E+02,1.26E+02,125,1.26E+02,9,90,1,1
401,active,new,Cxt B,67,1,3,67,1.80E+02,1.80E+02,1.81E+02,1.80E+02,9,90,1,1
401,active,new,Cxt B,110,1,3,72,5.52E+02,5.52E+02,5.52E+02,5.52E+02,9,90,0,1
401,active,no resp,Cxt A,87,1,0,0,9.22E+01,9.24E+01,9.14E+01,9.22E+01,10,90,1,1
401,active,original,Cxt A,126,1,1,60,3.76E+02,3.76E+02,3.76E+02,3.76E+02,10,90,0,1
401,active,update,Cxt B,138,1,2,50,4.01E+02,4.01E+02,4.01E+02,4.01E+02,9,90,0,1
401,active,original,Cxt B,15,1,1,30,1.57E+02,1.57E+02,1.57E+02,1.57E+02,9,90,1,1
401,active,original,Cxt A,113,1,1,56,4.02E+02,4.02E+02,4.02E+02,4.02E+02,10,90,0,1
401,active,update,Cxt B,144,1,2,38,1.79E+02,1.78E+02,1.79E+02,1.79E+02,9,90,1,1
401,active,update,Cxt A,134,1,2,56,8.77E+02,8.77E+02,8.76E+02,8.77E+02,10,90,0,1
401,active,update,Cxt A,55,1,2,49,1.77E+02,1.78E+02,1.77E+02,1.77E+02,10,90,1,1
401,active,original,Cxt B,59,1,1,40,1.16E+02,1.16E+02,1.16E+02,1.16E+02,9,90,1,1
401,active,original,Cxt A,83,1,1,53,3.25E+02,3.25E+02,3.25E+02,3.25E+02,10,90,0,1
401,active,update,Cxt A,23,1,2,60,3.45E+02,3.45E+02,3.45E+02,3.45E+02,10,90,0,1
401,active,original,Cxt B,36,1,1,48,8.63E+02,8.64E+02,6.32E+02,8.63E+02,9,0,0,1
401,active,update,Cxt A,22,1,2,36,1.31E+02,1.31E+02,1.31E+02,1.31E+02,10,90,1,1
401,active,update,Cxt B,44,1,2,49,3.57E+02,3.57E+02,3.57E+02,3.57E+02,9,90,0,1
401,active,original,Cxt A,98,1,1,85,1.56E+02,1.57E+02,1.57E+02,1.56E+02,10,90,1,1
401,active,original,Cxt B,128,2,1,30,7.54E+02,7.54E+02,5.77E+02,7.54E+02,9,0,0,1
401,active,new,Cxt B,72,2,3,25,4.97E+02,4.97E+02,4.97E+02,4.97E+02,9,90,0,1
401,active,update,Cxt A,12,2,2,40,3.47E+02,3.46E+02,3.45E+02,3.47E+02,10,90,0,1
401,active,update,Cxt B,84,2,2,30,2.53E+02,2.52E+02,2.52E+02,2.53E+02,9,90,0,1
401,active,new,Cxt B,25,2,3,94,1.59E+02,1.59E+02,1.59E+02,1.59E+02,9,90,1,1
401,active,update,Cxt A,109,2,2,39,6.84E+02,6.84E+02,6.85E+02,6.84E+02,10,90,0,1
401,active,original,Cxt A,143,2,1,28,1.92E+02,1.91E+02,1.91E+02,1.92E+02,10,90,1,1
401,active,update,Cxt B,133,2,2,51,2.23E+02,2.24E+02,2.24E+02,2.23E+02,9,90,1,1
401,active,original,Cxt B,38,2,1,43,6.21E+02,6.22E+02,6.22E+02,6.21E+02,9,90,0,1
401,active,original,Cxt A,18,2,1,38,6.90E+02,6.89E+02,6.37E+02,6.90E+02,10,90,0,1
401,active,original,Cxt A,60,2,1,88,9.45E+02,9.45E+02,5.06E+02,9.45E+02,10,0,0,1
401,active,original,Cxt A,120,2,1,39,1.22E+02,1.22E+02,1.22E+02,1.22E+02,10,90,1,1
401,active,original,Cxt B,21,2,1,71,4.50E+02,4.51E+02,4.51E+02,4.50E+02,9,90,0,1
401,active,original,Cxt B,86,2,1,70,1.29E+02,1.28E+02,1.29E+02,1.29E+02,9,90,1,1
401,active,original,Cxt A,154,2,1,41,1.55E+02,1.54E+02,1.55E+02,1.55E+02,10,90,1,1
401,active,original,Cxt A,42,2,1,33,6.18E+02,6.18E+02,6.18E+02,6.18E+02,10,90,0,1
401,active,original,Cxt A,122,2,1,37,2.13E+02,2.13E+02,2.13E+02,2.13E+02,10,90,1,1
401,active,original,Cxt B,7,2,1,36,1.03E+02,1.04E+02,1.04E+02,1.03E+02,9,90,1,1
401,active,update,Cxt B,152,2,2,33,1.40E+02,1.40E+02,1.41E+02,1.40E+02,9,90,1,1
401,active,update,Cxt B,74,2,2,39,1.76E+02,1.76E+02,1.76E+02,1.76E+02,9,90,1,1
401,active,update,Cxt B,20,2,2,42,6.83E+02,6.82E+02,5.88E+02,6.83E+02,9,0,0,1
401,active,original,Cxt B,43,2,1,37,1.15E+02,1.15E+02,1.16E+02,1.15E+02,9,90,1,1
401,active,original,Cxt A,4,2,1,39,1.40E+02,1.41E+02,1.42E+02,1.40E+02,10,90,1,1
401,active,update,Cxt B,131,2,2,29,9.50E+01,9.60E+01,9.53E+01,9.50E+01,9,90,1,1
401,active,original,Cxt A,100,2,1,89,2.35E+02,2.34E+02,2.35E+02,2.35E+02,10,90,0,1
401,active,original,Cxt A,130,2,1,42,2.30E+02,2.30E+02,2.30E+02,2.30E+02,10,90,0,1
401,active,original,Cxt A,99,2,1,31,1.01E+02,1.01E+02,1.01E+02,1.01E+02,10,90,1,1
401,active,original,Cxt A,63,2,1,33,1.05E+02,1.04E+02,1.05E+02,1.05E+02,10,90,1,1
401,active,update,Cxt B,35,2,2,29,2.15E+02,2.15E+02,2.16E+02,2.15E+02,9,90,1,1
401,active,update,Cxt A,77,2,2,37,1.71E+02,1.71E+02,1.70E+02,1.71E+02,10,90,1,1
401,passive,update,Cxt A,146,3,2,64,1.76E+02,1.76E+02,1.76E+02,1.76E+02,10,90,0,1
401,passive,original,Cxt A,150,3,1,42,1.55E+02,1.54E+02,1.54E+02,1.55E+02,10,90,1,1
401,passive,original,Cxt A,66,3,1,43,1.70E+02,1.71E+02,1.71E+02,1.70E+02,10,90,0,1
401,passive,update,Cxt B,82,3,2,46,1.40E+02,1.40E+02,1.39E+02,1.40E+02,9,90,1,1
401,passive,original,Cxt B,129,3,1,45,1.21E+02,1.21E+02,1.21E+02,8.91E+01,9,90,1,1
401,passive,no resp,Cxt A,121,3,0,0,9.43E+01,9.42E+01,9.47E+01,9.43E+01,10,90,1,1
401,passive,update,Cxt A,105,3,2,36,1.14E+02,1.14E+02,1.15E+02,1.14E+02,10,90,1,1
401,passive,original,Cxt B,159,3,1,85,90,8.92E+01,8.92E+01,90,9,90,1,1
401,passive,new,Cxt A,75,3,3,22,9.00E+01,9.06E+01,9.04E+01,9.00E+01,10,90,1,1
401,passive,original,Cxt A,151,3,1,42,3.47E+02,3.46E+02,3.45E+02,3.47E+02,10,90,0,1
