,prop,locs,cxt,cond
401,0.7142857142857143,1,0,act
402,0.14285714285714285,1,0,act
403,0.43243243243243246,1,0,act
404,0.325,1,0,act
405,0.3888888888888889,1,0,act
406,0.2,1,0,act
407,0.42105263157894735,1,0,act
408,0.2,1,0,act
409,0.32432432432432434,1,0,act
410,0.2,1,0,act
411,0.34375,1,0,act
412,0.35135135135135137,1,0,act
413,0.3225806451612903,1,0,act
414,0.2222222222222222,1,0,act
415,0.5,1,0,act
416,0.1794871794871795,1,0,act
417,0.20512820512820512,1,0,act
418,0.3055555555555556,1,0,act
419,0.23529411764705882,1,0,act
420,0.3235294117647059,1,0,act
801,0.29411764705882354,1,0,act
802,0.3333333333333333,1,0,act
803,0.3684210526315789,1,0,act
804,0.38095238095238093,1,0,act
805,0.3888888888888889,1,0,act
806,0.3333333333333333,1,0,act
807,0.21428571428571427,1,0,act
808,0.3684210526315789,1,0,act
809,0.375,1,0,act
810,0.38461538461538464,1,0,act
811,0.36363636363636365,1,0,act
812,0.21428571428571427,1,0,act
813,0.4,1,0,act
814,0.38095238095238093,1,0,act
815,0.21052631578947367,1,0,act
817,0.2857142857142857,1,0,act
818,0.3333333333333333,1,0,act
819,0.3888888888888889,1,0,act
820,0.3870967741935484,1,0,act
821,0.38095238095238093,1,0,act
401,0.2857142857142857,2,0,act
402,0.7142857142857143,2,0,act
403,0.3783783783783784,2,0,act
404,0.475,2,0,act
405,0.3333333333333333,2,0,act
406,0.525,2,0,act
407,0.3684210526315789,2,0,act
408,0.6571428571428571,2,0,act
409,0.3783783783783784,2,0,act
410,0.4,2,0,act
411,0.375,2,0,act
412,0.5675675675675675,2,0,act
413,0.5161290322580645,2,0,act
414,0.5,2,0,act
415,0.16666666666666666,2,0,act
416,0.6410256410256411,2,0,act
417,0.48717948717948717,2,0,act
418,0.5277777777777778,2,0,act
419,0.4411764705882353,2,0,act
420,0.5,2,0,act
801,0.5294117647058824,2,0,act
802,0.5,2,0,act
803,0.5789473684210527,2,0,act
