,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,recog+manip_accuracy,recog+manip+loc_accuracy,dom_all_accuracy
0,1,0.0,0,252,254,,EFIX,,,,,,,,,,study,,,4,screen,1.0,920,,,,,,1,,524.0,,352.2,False,False,False
1,1,0.0,0,36,290,offscreen,ESACC,,,,,,,,,,study,,,256,screen,1.0,920,,,,,,1,441.2,528.3,539.9,352.3,False,False,False
2,1,0.0,0,140,430,,EFIX,,,,,,,,,,study,,,292,offscreen,1.0,920,,,,,,1,,443.3,,537.1,False,False,False
3,1,0.0,0,16,446,offscreen,ESACC,,,,,,,,,,study,,,432,offscreen,1.0,920,,,,,,1,477.0,447.4,563.8,536.5,False,False,False
4,1,0.0,0,148,594,,EFIX,,,,,,,,,,study,,,448,offscreen,1.0,920,,,,,,1,,479.5,,572.6,False,False,False
5,1,0.0,0,34,628,offscreen,ESACC,,,,,,,,,,study,,,596,offscreen,1.0,920,,,,,,1,297.5,480.1,568.8,570.3,False,False,False
6,1,0.0,0,206,834,,EFIX,,,,,,,,,,study,,,630,offscreen,1.0,920,,,,,,1,,286.1,,567.3,False,False,False
7,1,0.0,0,16,850,offscreen,ESACC,,,,,,,,,,study,,,836,offscreen,1.0,920,,,,,,1,249.6,284.8,577.1,565.5,False,False,False
8,1,0.0,0,292,1142,,EFIX,,,,,,,,,,study,,,852,offscreen,1.0,920,,,,,,1,,249.1,,578.8,False,False,False
9,1,0.0,0,38,1180,offscreen,ESACC,,,,,,,,,,study,,,1144,offscreen,1.0,920,,,,,,1,489.2,251.5,579.5,582.4,False,False,False
10,1,0.0,0,366,1546,,EFIX,,,,,,,,,,study,,,1182,offscreen,1.0,920,,,,,,1,,490.6,,585.0,False,False,False
11,1,0.0,0,24,1570,offscreen,ESACC,,,,,,,,,,study,,,1548,offscreen,1.0,920,,,,,,1,470.0,491.8,546.0,594.4,False,False,False
12,1,0.0,0,122,1692,,EFIX,,,,,,,,,,study,,,1572,offscreen,1.0,920,,,,,,1,,468.4,,539.5,False,False,False
13,1,0.0,0,58,1750,offscreen,ESACC,,,,,,,,,,study,,,1694,offscreen,1.0,920,,,,,,1,693.0,472.5,241.9,543.1,False,False,False
14,1,0.0,0,180,1930,,EFIX,,,,,,,,,,study,,,1752,offscreen,1.0,920,,,,,,1,,686.2,,251.3,False,False,False
15,1,0.0,0,28,1958,offscreen,ESACC,,,,,,,,,,study,,,1932,offscreen,1.0,920,,,,,,1,690.8,683.7,165.5,257.2,False,False,False
16,1,0.0,0,406,2364,,EFIX,,,,,,,,,,study,,,1960,offscreen,1.0,920,,,,,,1,,686.0,,159.6,False,False,False
17,1,0.0,0,54,2418,screen,ESACC,,,,,,,,,,study,,,2366,offscreen,1.0,920,,,,,,1,349.2,684.3,142.3,158.5,False,False,False
18,1,0.0,0,188,2606,,EFIX,,,,,,,,,,study,,,2420,screen,1.0,920,,,,,,1,,348.9,,148.7,False,False,False
19,1,0.0,0,44,2650,offscreen,ESACC,,,,,,,,,,study,,,2608,screen,1.0,920,,,,,,1,735.0,347.5,176.9,150.4,False,False,False
20,1,0.0,0,562,3212,,EFIX,,,,,,,,,,study,,,2652,offscreen,1.0,920,,,,,,1,,721.0,,182.4,False,False,False
21,1,0.0,0,54,3266,screen,ESACC,,,,,,,,,,study,,,3214,offscreen,1.0,920,,,,,,1,306.1,722.4,196.4,185.7,False,False,False
22,1,0.0,0,206,3472,,EFIX,,,,,,,,,,study,,,3268,screen,1.0,920,,,,,,1,,305.2,,198.5,False,False,False
23,1,0.0,0,170,3642,screen,ESACC,,,,,,,,,,study,,,3474,screen,1.0,920,,,,,,1,468.1,304.2,204.5,222.4,False,False,False
24,1,0.0,0,370,4012,,EFIX,,,,,,,,,,study,,,3644,screen,1.0,920,,,,,,1,,461.9,,227.3,False,False,False
25,1,1.0,0,184,186,,EFIX,True,,449.1215537023357,115.0,407.0,,441.6720163198026,955.0,617.0,study,True,False,4,screen,2.0,920,,280.5212469671415,745.0,197.0,20.0,2,,564.1,,411.4,True,False,False
26,1,1.0,0,40,226,test_objend,ESACC,True,587.1656154782908,446.90940916476575,115.0,407.0,440.8644462870645,444.31747658628063,955.0,617.0,study,True,False,188,screen,2.0,920,92.71170368405492,280.806018454021,745.0,197.0,20.0,2,685.5,561.9,268.1,409.9,True,False,False
27,1,1.0,0,106,332,,EFIX,True,,582.6934185315637,115.0,407.0,,439.02348456546144,955.0,617.0,study,True,False,228,test_objstart,2.0,920,,98.73003595664291,745.0,197.0,20.0,2,,682.1,,273.1,True,False,False
28,1,1.0,0,54,386,manip_objend,ESACC,True,90.69867694735134,577.7347920975506,115.0,407.0,947.8039090444817,440.2652495939238,955.0,617.0,study,True,False,334,test_objstart,2.0,920,714.9071618049437,103.30290412181063,745.0,197.0,20.0,2,46.2,677.5,347.9,275.2,True,False,False
29,1,1.0,0,594,980,,EFIX,True,,87.6097026590092,115.0,407.0,,939.0087646023331,955.0,617.0,study,True,False,388,manip_objstart,2.0,920,,702.3983627543561,745.0,197.0,20.0,2,,57.5,,340.9,True,False,False
30,1,1.0,0,200,1180,manip_objend,ESACC,True,101.76802051725285,71.449282711585,115.0,407.0,871.6918779018191,926.803646950097,955.0,617.0,study,True,False,982,manip_objstart,2.0,920,615.3492748025303,697.1405884038026,745.0,197.0,20.0,2,139.8,66.0,308.3,355.0,True,False,False
31,1,1.0,0,142,1322,,EFIX,True,,98.08164965986248,115.0,407.0,,875.1411371887394,955.0,617.0,study,True,False,1182,manip_objstart,2.0,920,,620.462738607243,745.0,197.0,20.0,2,,135.1,,311.0,True,False,False
32,1,1.0,0,64,1386,test_objend,ESACC,True,641.5721393576875,95.79530259882266,115.0,407.0,466.1789463285531,878.743842083687,955.0,617.0,study,True,False,1324,manip_objstart,2.0,920,23.681427321848673,625.0637887447967,745.0,197.0,20.0,2,725.9,130.7,211.0,312.5,True,False,False
33,1,1.0,0,236,1622,,EFIX,True,,643.2166819975987,115.0,407.0,,469.55904846994486,955.0,617.0,study,True,False,1388,test_objstart,2.0,920,,21.158922467838522,745.0,197.0,20.0,2,,726.3,,206.9,True,False,False
34,1,1.0,0,16,1638,test_objend,ESACC,True,667.1568406304474,640.7764352720845,115.0,407.0,479.03053138604844,466.7959297166161,955.0,617.0,study,True,False,1624,test_objstart,2.0,920,10.40432602334241,24.298971171636058,745.0,197.0,20.0,2,744.7,725.0,186.6,210.8,True,False,False
35,1,1.0,0,234,1872,,EFIX,True,,659.5735364612501,115.0,407.0,,474.9560505983685,955.0,617.0,study,True,False,1640,test_objstart,2.0,920,,6.57647321898291,745.0,197.0,20.0,2,,739.2,,193.9,True,False,False
36,1,1.0,0,38,1910,screen,ESACC,True,445.01358406232947,659.1564457698946,115.0,407.0,624.3805650402645,474.1109785693641,955.0,617.0,study,True,False,1874,test_objstart,2.0,920,243.19352376245547,6.262587324740447,745.0,197.0,20.0,2,502.0,739.1,187.3,194.9,True,False,False
37,1,1.0,0,174,2084,,EFIX,True,,446.99750558588136,115.0,407.0,,624.0486920104872,955.0,617.0,study,True,False,1912,screen,2.0,920,,241.64596003244083,745.0,197.0,20.0,2,,503.6,,186.1,True,False,False
38,1,1.0,0,30,2114,screen,ESACC,True,350.12376383216264,445.6573235121353,115.0,407.0,733.8055941460245,626.0482808857477,955.0,617.0,study,True,False,2086,screen,2.0,920,373.0638685265567,243.6810415276494,745.0,197.0,20.0,2,372.9,501.6,170.2,185.3,True,False,False
39,1,1.0,0,184,2298,,EFIX,True,,339.50036818831285,115.0,407.0,,742.3008150339052,955.0,617.0,study,True,False,2116,screen,2.0,920,,385.2797684799969,745.0,197.0,20.0,2,,360.5,,172.5,True,False,False
40,1,1.0,0,46,2344,test_objend,ESACC,True,643.6235623405967,333.5217684050023,115.0,407.0,498.2221291753308,741.9951280163502,955.0,617.0,study,True,False,2300,screen,2.0,920,33.12536792248502,388.3848220515317,745.0,197.0,20.0,2,717.0,357.1,179.3,177.6,True,False,False
41,1,1.0,0,182,2526,,EFIX,True,,630.3627209789614,115.0,407.0,,500.1891242320248,955.0,617.0,study,True,False,2346,test_objstart,2.0,920,,42.44007540049851,745.0,197.0,20.0,2,,704.6,,184.0,True,False,False
42,1,1.0,0,22,2548,test_objend,ESACC,True,664.552819571176,629.0926958723968,115.0,407.0,469.9770739089302,501.8203064843032,955.0,617.0,study,True,False,2528,test_objstart,2.0,920,0.6708203932499115,44.33531323899722,745.0,197.0,20.0,2,745.3,702.9,196.4,183.1,True,False,False
43,1,1.0,0,114,2662,,EFIX,True,,657.2524172644784,115.0,407.0,,468.1524751616721,955.0,617.0,study,True,False,2550,test_objstart,2.0,920,,7.262231062146158,745.0,197.0,20.0,2,,739.3,,201.5,True,False,False
44,1,1.0,0,46,2708,other_objend,ESACC,True,835.3817450722753,656.1450525607886,115.0,407.0,32.25926223582928,468.48300929702884,955.0,617.0,study,True,False,2664,test_objstart,2.0,920,442.10706848002326,8.266196223172981,745.0,197.0,20.0,2,927.9,738.2,599.5,201.7,True,False,False
45,1,1.0,0,362,3070,,EFIX,True,,831.0615199851333,115.0,407.0,,39.08004605933828,955.0,617.0,study,True,False,2710,other_objstart,2.0,920,,433.84012032083893,745.0,197.0,20.0,2,,925.3,,591.6,True,False,False
46,1,1.0,0,38,3108,other_objend,ESACC,True,953.0079747830026,830.9917929799307,115.0,407.0,96.6447101501164,38.669884923542234,955.0,617.0,study,True,False,3072,other_objstart,2.0,920,501.2586158860514,434.6255399766562,745.0,197.0,20.0,2,1049.2,925.0,595.4,592.6,True,False,False
47,1,1.0,0,118,3226,,EFIX,True,,944.0583297656984,115.0,407.0,,86.98350418326457,955.0,617.0,study,True,False,3110,other_objstart,2.0,920,,496.9991247477203,745.0,197.0,20.0,2,,1039.7,,597.2,True,False,False
48,1,1.0,0,20,3246,other_objend,ESACC,True,868.32197369409,938.7899552082989,115.0,407.0,20.470710783946952,81.7103420626789,955.0,617.0,study,True,False,3228,other_objstart,2.0,920,455.8212917361364,493.89733751053967,745.0,197.0,20.0,2,962.1,1034.3,597.8,597.3,True,False,False
49,1,1.0,0,140,3386,,EFIX,True,,847.0245628079507,115.0,407.0,,23.50765832659648,955.0,617.0,study,True,False,3248,other_objstart,2.0,920,,446.7086410626058,745.0,197.0,20.0,2,,940.0,,598.9,True,False,False
50,1,1.0,0,54,3440,test_objend,ESACC,True,749.5194327033822,845.6254016998306,115.0,407.0,313.27524638885853,24.048284762119728,955.0,617.0,study,True,False,3388,other_objstart,2.0,920,166.9592165769832,446.6433924284563,745.0,197.0,20.0,2,859.3,938.4,318.7,599.6,True,False,False
51,1,1.0,0,104,3544,,EFIX,True,,741.7489063018562,115.0,407.0,,311.3317201956781,955.0,617.0,study,True,False,3442,test_objstart,2.0,920,,165.4552507477475,745.0,197.0,20.0,2,,852.0,,323.2,True,False,False
52,1,1.0,0,36,3580,test_objend,ESACC,True,739.2822735599711,739.5038877517818,115.0,407.0,462.21886590661785,306.2188759694608,955.0,617.0,study,True,False,3546,test_objstart,2.0,920,75.2481229001761,169.07394831847984,745.0,197.0,20.0,2,817.2,850.4,175.8,329.2,True,False,False
53,1,1.0,0,174,3754,,EFIX,True,,732.5580181801303,115.0,407.0,,459.9578785062823,955.0,617.0,study,True,False,3582,test_objstart,2.0,920,,68.63854602189647,745.0,197.0,20.0,2,,811.5,,180.0,True,False,False
54,1,1.0,0,42,3796,offscreen,ESACC,True,923.3233994652144,727.3703320867576,115.0,407.0,480.85351199715694,456.6438437119239,955.0,617.0,study,True,False,3756,test_objstart,2.0,920,260.05787817330196,63.777739063093186,745.0,197.0,20.0,2,998.3,807.6,138.1,184.8,True,False,False
55,1,1.0,0,172,3968,,EFIX,True,,917.599237140049,115.0,407.0,,473.64159445724357,955.0,617.0,study,True,False,3798,offscreen,2.0,920,,254.7633411619497,745.0,197.0,20.0,2,,994.4,,145.0,True,False,False
56,1,1.0,0,40,4008,screen,ESACC,True,,901.9371374990609,115.0,407.0,,458.0203052267443,955.0,617.0,study,True,False,3970,offscreen,2.0,920,,240.29689968869758,745.0,197.0,20.0,2,,982.4,,159.8,True,False,False
57,1,1.0,1,162,164,,EFIX,True,,535.1889386001919,325.0,197.0,,325.4400098328415,535.0,197.0,study,True,True,4,offscreen,3.0,920,,455.11668833388205,745.0,617.0,3.0,3,,859.8,,176.6,True,True,True
