,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,manip_accuracy,all_accuracy
0,1,1.0,9.0,976,978,,EFIX,9.0,,224.2748536951925,,256.318571313122,,770.6797064929115,study,True,False,4,screen,1.0,406,1,820.0,820.0,1660.0,,916.4,650.0,210.0,650.0,,447.5,True,True
1,1,1.0,9.0,20,998,obj1end,ESACC,9.0,151.75694382795143,193.70041300936867,288.48252980033294,277.22887656230904,860.3616507027727,777.6167757964073,study,True,False,980,screen,1.0,406,1,820.0,820.0,1660.0,813.1,902.4,650.0,210.0,650.0,498.4,474.7,True,True
2,1,1.0,9.0,830,1828,,EFIX,9.0,,127.16516818688989,,315.4472697615245,,870.7622982192098,study,True,False,1000,obj1start,1.0,406,1,820.0,820.0,1660.0,,798.3,650.0,210.0,650.0,,524.7,True,True
3,1,1.0,9.0,64,1892,obj3end,ESACC,9.0,802.8286990385933,110.16682803820753,884.998259885295,331.6515189170706,73.90480363278148,864.1763303863395,study,True,False,1830,obj1start,1.0,406,1,820.0,820.0,1660.0,1620.4,802.7,650.0,210.0,650.0,587.6,541.2,True,True
4,1,1.0,9.0,348,2240,,EFIX,9.0,,816.7810294075151,,898.3603119016334,,66.11542936410532,study,True,False,1894,obj3start,1.0,406,1,820.0,820.0,1660.0,,1634.5,650.0,210.0,650.0,,589.0,True,True
5,1,1.0,9.0,64,2304,screen,ESACC,9.0,285.2052068248404,817.9702317321824,187.69659027270583,899.4905780495981,803.1077200475662,65.56904757581884,study,True,False,2242,obj3start,1.0,406,1,820.0,820.0,1660.0,904.5,1635.7,650.0,210.0,650.0,377.6,589.1,True,True
6,1,1.0,9.0,654,2958,,EFIX,9.0,,293.4708162662856,,171.61911315468333,,818.5921573042341,study,True,False,2306,obj2start,1.0,406,1,820.0,820.0,1660.0,,892.4,650.0,210.0,650.0,,365.6,True,True
7,1,1.0,9.0,22,2980,screen,ESACC,9.0,220.5548684568083,290.9701874763117,248.15408519708072,172.99609822189632,786.6615854355671,819.2384573492628,study,True,False,2960,obj2start,1.0,406,1,820.0,820.0,1660.0,900.6,890.9,650.0,210.0,650.0,444.7,367.8,True,True
8,1,1.0,9.0,330,3310,,EFIX,9.0,,195.83638579181346,,273.9486995771289,,779.6613944527458,study,True,False,2982,screen,1.0,406,1,820.0,820.0,1660.0,,901.0,650.0,210.0,650.0,,471.7,True,True
9,1,1.0,9.0,22,3332,screen,ESACC,9.0,269.9209513913287,194.39804525766203,361.3659087407113,285.0659572800653,637.5776972259929,766.0382496977548,study,True,False,3312,screen,1.0,406,1,820.0,820.0,1660.0,1041.4,913.2,650.0,210.0,650.0,495.6,479.4,True,True
10,1,1.0,9.0,258,3590,,EFIX,9.0,,287.1993906678773,,385.90606369944487,,609.1859240002185,study,True,False,3334,screen,1.0,406,1,820.0,820.0,1660.0,,1068.2,650.0,210.0,650.0,,505.5,True,True
11,1,1.0,9.0,36,3626,screen,ESACC,9.0,187.7993077729522,285.1063836535409,328.1654765510839,387.5430943779028,977.4479935014446,609.3058755666154,study,True,False,3592,screen,1.0,406,1,820.0,820.0,1660.0,692.3,1067.4,650.0,210.0,650.0,512.3,508.3,True,True
12,1,1.0,9.0,234,3860,,EFIX,9.0,,201.61785635206024,,343.64190664120116,,1001.1402299378444,study,True,False,3628,screen,1.0,406,1,820.0,820.0,1660.0,,667.6,650.0,210.0,650.0,,518.0,True,True
13,1,1.0,9.0,40,3900,obj2end,ESACC,9.0,298.9509826041721,208.24795317121365,141.5192213093331,340.53958653877527,900.517456799145,1005.8425373784904,study,True,False,3862,screen,1.0,406,1,820.0,820.0,1660.0,810.5,663.6,650.0,210.0,650.0,351.2,512.5,True,True
14,1,1.0,9.0,114,4014,,EFIX,9.0,,344.1839188573458,,96.20067567330281,,914.7844390893409,study,True,False,3902,obj2start,1.0,406,1,820.0,820.0,1660.0,,812.4,650.0,210.0,650.0,,305.9,True,True
15,1,1.0,4.0,460,462,,EFIX,4.0,,476.3535031885459,,729.6496830671551,,478.8994257670393,study,True,False,4,screen,2.0,406,2,540.0,1660.0,1380.0,,932.1,210.0,430.0,650.0,,480.5,True,True
16,1,1.0,4.0,36,498,screen,ESACC,4.0,200.65941293644815,453.93947834485596,970.1341144398541,743.4063828082188,753.2703365990194,499.2845381142901,study,True,False,464,screen,2.0,406,2,540.0,1660.0,1380.0,694.2,917.3,210.0,430.0,650.0,338.4,462.4,True,True
17,1,1.0,4.0,368,866,,EFIX,4.0,,166.8576638935114,,998.2391897736734,,785.9271467508931,study,True,False,500,obj1start,2.0,406,2,540.0,1660.0,1380.0,,668.2,210.0,430.0,650.0,,316.8,True,True
18,1,1.0,4.0,36,902,screen,ESACC,4.0,369.7012983477337,162.98506066508057,779.4633089504598,1004.4302514361065,582.8610897975606,791.0980533410508,study,True,False,868,obj1start,2.0,406,2,540.0,1660.0,1380.0,885.6,661.8,210.0,430.0,650.0,341.3,318.3,True,True
19,1,1.0,4.0,790,1692,,EFIX,4.0,,405.1145270167437,,744.7642445767655,,548.5159797125331,study,True,False,904,screen,2.0,406,2,540.0,1660.0,1380.0,,919.3,210.0,430.0,650.0,,352.3,True,True
20,1,1.0,4.0,24,1716,screen,ESACC,4.0,560.4353486353265,420.57775737668294,590.9685101593824,731.2849307896342,403.5341125605121,532.2684003395281,study,True,False,1694,screen,2.0,406,2,540.0,1660.0,1380.0,1070.3,931.8,210.0,430.0,650.0,391.3,362.9,True,True
21,1,1.0,4.0,1078,2794,,EFIX,4.0,,588.7609446965722,,567.8339986298812,,372.224999160454,study,True,False,1718,screen,2.0,406,2,540.0,1660.0,1380.0,,1092.4,210.0,430.0,650.0,,413.7,True,True
22,1,1.0,4.0,28,2822,screen,ESACC,4.0,772.4443539828613,596.2794814514416,394.1145518754668,563.1422733199843,213.12503372433753,362.80741447770873,study,True,False,2796,screen,2.0,406,2,540.0,1660.0,1380.0,1267.8,1096.9,210.0,430.0,650.0,468.8,423.1,True,True
23,1,1.0,4.0,136,2958,,EFIX,4.0,,802.0009476303629,,367.9314066507505,,190.42457824556155,study,True,False,2824,screen,2.0,406,2,540.0,1660.0,1380.0,,1295.4,210.0,430.0,650.0,,479.4,True,True
24,1,1.0,4.0,30,2988,screen,ESACC,4.0,570.4097562279243,800.9246905920681,595.210290569644,368.8690282471543,382.3915401783884,191.22855435316134,study,True,False,2960,screen,2.0,406,2,540.0,1660.0,1380.0,1064.8,1294.4,210.0,430.0,650.0,433.5,479.0,True,True
25,1,1.0,4.0,230,3218,,EFIX,4.0,,542.602110205996,,620.4555181477558,,409.86955241881543,study,True,False,2990,screen,2.0,406,2,540.0,1660.0,1380.0,,1039.6,210.0,430.0,650.0,,421.7,True,True
26,1,1.0,4.0,20,3238,screen,ESACC,4.0,469.58062140595194,537.3453731074642,689.8187877986508,626.2523852249986,481.24210123388,414.58901336142526,study,True,False,3220,screen,2.0,406,2,540.0,1660.0,1380.0,971.0,1033.8,210.0,430.0,650.0,396.4,421.9,True,True
27,1,1.0,4.0,146,3384,,EFIX,4.0,,448.8729998563068,,708.2929972829041,,502.1463631253342,study,True,False,3240,screen,2.0,406,2,540.0,1660.0,1380.0,,953.1,210.0,430.0,650.0,,385.6,True,True
28,1,1.0,4.0,36,3420,screen,ESACC,4.0,773.6433415986982,448.44167959724706,369.3995397939744,706.3653020923381,276.8899059193022,503.7895790903182,study,True,False,3386,screen,2.0,406,2,540.0,1660.0,1380.0,1293.1,955.5,210.0,430.0,650.0,387.1,378.7,True,True
29,1,1.0,4.0,230,3650,,EFIX,4.0,,781.4582522438419,,362.59757307516554,,266.6027006614899,study,True,False,3422,screen,2.0,406,2,540.0,1660.0,1380.0,,1299.0,210.0,430.0,650.0,,396.0,True,True
30,1,1.0,4.0,28,3678,obj2end,ESACC,4.0,974.2364651356465,785.0401900539869,167.58487401910716,358.68105609301426,266.9694551816743,267.01329554911683,study,True,False,3652,screen,2.0,406,2,540.0,1660.0,1380.0,1493.8,1303.1,210.0,430.0,650.0,408.5,394.3,True,True
31,1,1.0,4.0,340,4018,,EFIX,4.0,,1006.4289542734748,,135.00829604139147,,284.17466459908064,study,True,False,3680,obj2start,2.0,406,2,540.0,1660.0,1380.0,,1527.0,210.0,430.0,650.0,,406.8,True,True
32,1,1.0,14.0,3264,3266,,EFIX,14.0,,472.23850965375533,,443.28908175140066,,212.8689972729707,study,False,False,4,screen,3.0,406,3,1380.0,540.0,820.0,,908.5,430.0,210.0,650.0,,456.4,True,False
33,1,1.0,14.0,32,3298,screen,ESACC,14.0,191.27271106982298,455.1642560658735,696.1445611365502,467.9941238947344,417.74783063470244,206.51997482083905,study,False,False,3268,screen,3.0,406,3,1380.0,540.0,820.0,1190.7,926.9,430.0,210.0,650.0,457.4,473.3,True,False
34,1,1.0,14.0,716,4014,,EFIX,14.0,,164.7986043630225,,712.0186654856739,,449.6516207020719,study,False,False,3300,obj1start,3.0,406,3,1380.0,540.0,820.0,,1215.3,430.0,210.0,650.0,,435.7,True,False
35,1,1.0,6.0,480,482,,EFIX,6.0,,404.50271939753384,,334.6796229231771,,505.45271786785355,study,True,False,4,screen,4.0,406,4,540.0,540.0,1380.0,,874.6,650.0,430.0,430.0,,422.7,True,True
36,1,1.0,6.0,24,506,screen,ESACC,6.0,290.34975460640567,389.0583632310196,186.31956419013002,313.6724565530101,653.7055759284909,526.6027060317863,study,True,False,484,screen,4.0,406,4,540.0,540.0,1380.0,726.3,853.5,650.0,430.0,430.0,427.3,419.6,True,True
37,1,1.0,6.0,562,1068,,EFIX,6.0,,246.97890598186717,,120.37682501212593,,719.7128455154875,study,True,False,508,obj2start,4.0,406,4,540.0,540.0,1380.0,,660.3,650.0,430.0,430.0,,434.3,True,True
38,1,1.0,6.0,38,1106,screen,ESACC,6.0,491.04111844121564,243.4325368556964,426.95828836081864,116.56500332432542,414.37830541668086,723.6265611487738,study,True,False,1070,obj2start,4.0,406,4,540.0,540.0,1380.0,966.3,656.4,650.0,430.0,430.0,406.3,436.2,True,True
39,1,1.0,6.0,2910,4016,,EFIX,6.0,,479.38479325068283,,404.35353343330627,,439.58819365401524,study,True,False,1108,screen,4.0,406,4,540.0,540.0,1380.0,,942.3,650.0,430.0,430.0,,389.3,True,True
40,1,1.0,9.0,90,92,,blink,9.0,,205.67851127426997,,735.205855526192,,114.78523424204006,study,False,False,4,obj3start,5.0,406,5,820.0,1660.0,820.0,,926.1,650.0,430.0,430.0,,473.8,True,False
41,1,1.0,9.0,172,264,obj3end,ESACC,9.0,216.91164099697372,205.3271535866603,775.6072846486165,739.1828190644044,65.77735172534692,110.23266303596226,study,False,False,94,obj3start,5.0,406,5,820.0,1660.0,820.0,884.5,922.0,650.0,430.0,430.0,442.9,471.8,True,False
42,1,1.0,9.0,100,364,,EFIX,9.0,,215.31662731893232,,785.1886715942863,,56.153806638552986,study,False,False,266,obj3start,5.0,406,5,820.0,1660.0,820.0,,874.9,650.0,430.0,430.0,,441.8,True,False
43,1,1.0,9.0,22,386,obj3end,ESACC,9.0,270.04592202068153,219.7544083744397,889.968988223747,793.6170361074667,66.78922068717375,46.69047011971498,study,False,False,366,obj3start,5.0,406,5,820.0,1660.0,820.0,771.2,866.4,650.0,430.0,430.0,384.4,435.2,True,False
44,1,1.0,9.0,1232,1618,,EFIX,9.0,,300.3239084721694,,912.6524256254404,,100.35163177547237,study,False,False,388,obj3start,5.0,406,5,820.0,1660.0,820.0,,750.2,650.0,430.0,430.0,,357.9,True,False
45,1,1.0,9.0,42,1660,screen,ESACC,9.0,423.9604816489386,290.05835619750724,528.2939428007859,902.6504583724532,321.7677578627169,87.78297101374501,study,False,False,1620,obj3start,5.0,406,5,820.0,1660.0,820.0,1135.5,759.6,650.0,430.0,430.0,366.8,366.3,True,False
