,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
0,1,2.0,6.0,256,258,,EFIX,6.0,,366.0993580983174,,470.7321318966871,,326.18513148210786,study,True,False,4,screen,1.0,409,1,540.0,540.0,820.0,,885.7,650.0,210.0,210.0,,529.5
1,1,2.0,6.0,38,296,obj2end,ESACC,6.0,512.654981444636,363.6833787788493,132.51086747885998,464.80275386447533,171.55503490134006,321.1628870215237,study,True,False,260,screen,1.0,409,1,540.0,540.0,820.0,658.8,881.6,650.0,210.0,210.0,151.3,525.2
2,1,2.0,6.0,634,930,,EFIX,6.0,,556.7412504925425,,168.6677799699753,,175.34200865736656,study,True,False,298,obj2start,1.0,409,1,540.0,540.0,820.0,,675.9,650.0,210.0,210.0,,110.1
3,1,2.0,6.0,30,960,screen,ESACC,6.0,581.7738564081408,581.3226298708834,186.9460349940592,196.8146336022807,437.315469655488,172.55723688098394,study,True,False,932,obj3start,1.0,409,1,540.0,540.0,820.0,400.9,696.0,650.0,210.0,210.0,85.1,90.0
4,1,2.0,6.0,628,1588,,EFIX,6.0,,573.1708296834374,,183.1633151043079,,437.827363238069,study,True,False,962,screen,1.0,409,1,540.0,540.0,820.0,,397.6,650.0,210.0,210.0,,94.8
5,1,2.0,6.0,42,1630,obj1end,ESACC,6.0,144.0071178796382,563.8344615221741,380.8963769846072,175.90139283132467,539.4608882949717,433.48506317980554,study,True,False,1590,obj2start,1.0,409,1,540.0,540.0,820.0,419.4,399.7,650.0,210.0,210.0,571.3,103.9
6,1,2.0,6.0,776,2406,,EFIX,6.0,,145.14909576018724,,423.53306836656805,,579.5690295383286,study,True,False,1632,obj1start,1.0,409,1,540.0,540.0,820.0,,400.5,650.0,210.0,210.0,,609.9
7,1,2.0,6.0,18,2424,obj1end,ESACC,6.0,93.14273992104808,157.64418796771417,430.3528436062669,434.50626002394944,560.90959164557,594.5045752557334,study,True,False,2408,obj1start,1.0,409,1,540.0,540.0,820.0,448.9,386.0,650.0,210.0,210.0,630.6,616.3
8,1,2.0,6.0,256,2680,,EFIX,6.0,,79.19627516493439,,437.41976407108075,,560.1357424767679,study,True,False,2426,obj1start,1.0,409,1,540.0,540.0,820.0,,461.4,650.0,210.0,210.0,,640.3
9,1,2.0,6.0,22,2702,obj1end,ESACC,6.0,166.31247698233585,85.18738169470875,407.42587055806854,437.4390128920831,575.009426009696,563.0922570946967,study,True,False,2682,obj1start,1.0,409,1,540.0,540.0,820.0,386.0,455.5,650.0,210.0,210.0,587.2,639.2
10,1,2.0,6.0,46,2748,,EFIX,6.0,,190.90023572536523,,388.27168323224396,,568.6852380711143,study,True,False,2704,screen,1.0,409,1,540.0,540.0,820.0,,371.7,650.0,210.0,210.0,,559.9
11,1,2.0,6.0,38,2786,obj2end,ESACC,6.0,511.1198000469166,195.13139163138257,141.54663542451303,378.9304157757727,414.3470164005046,561.950407064538,study,True,False,2750,screen,1.0,409,1,540.0,540.0,820.0,409.2,372.5,650.0,210.0,210.0,155.9,549.9
12,1,2.0,6.0,674,3460,,EFIX,6.0,,546.420909189976,,177.47058911267524,,444.5130031843838,study,True,False,2788,obj2start,1.0,409,1,540.0,540.0,820.0,,383.4,650.0,210.0,210.0,,126.5
13,1,2.0,6.0,32,3492,obj2end,ESACC,6.0,527.808535361072,549.712743166829,125.05138943650329,186.89060971595123,199.15283076069994,454.8671234547514,study,True,False,3462,screen,1.0,409,1,540.0,540.0,820.0,637.1,372.9,650.0,210.0,210.0,131.2,126.3
14,1,2.0,6.0,522,4014,,EFIX,6.0,,532.634959423431,,146.4923206178399,,174.41330224498358,study,True,False,3494,obj2start,1.0,409,1,540.0,540.0,820.0,,664.0,650.0,210.0,210.0,,132.0
