,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
0,1,2.0,18.0,302,304,,EFIX,18.0,,695.5962334573125,,480.83065626060073,,296.9412736552465,study,4,screen,1.0,423,1,1660.0,1380.0,1100.0,,984.6,650.0,210.0,210.0,,483.6
1,1,2.0,18.0,14,318,screen,ESACC,18.0,691.3785721296257,682.9841725838162,498.1850359053351,460.8203337527544,322.7325982915268,279.90601994240853,study,306,screen,1.0,423,1,1660.0,1380.0,1100.0,982.8,1000.7,650.0,210.0,210.0,510.7,471.7
2,1,2.0,18.0,26,344,,blink,18.0,,692.6835496819598,,502.9219621372684,,328.04039385417155,study,320,screen,1.0,423,1,1660.0,1380.0,1100.0,,980.5,650.0,210.0,210.0,,515.5
3,1,2.0,18.0,66,410,screen,ESACC,18.0,476.77819790758053,685.9707063716351,337.8719431974191,490.9295366954406,309.58916324703614,317.0296673814613,study,346,screen,1.0,423,1,1660.0,1380.0,1100.0,1207.3,989.1,650.0,210.0,210.0,500.4,507.0
4,1,2.0,18.0,240,650,,EFIX,18.0,,604.5088005976422,,138.03945088270962,,142.038339894551,study,412,obj2start,1.0,423,1,1660.0,1380.0,1100.0,,1242.0,650.0,210.0,210.0,,213.3
5,1,2.0,18.0,20,670,obj3end,ESACC,18.0,762.969278542721,697.5084587300717,278.44231000334713,197.82327972207926,100.5291997381855,133.1992867848773,study,652,obj3start,1.0,423,1,1660.0,1380.0,1100.0,1119.6,1201.8,650.0,210.0,210.0,111.4,124.1
6,1,2.0,18.0,332,1002,,EFIX,18.0,,800.294851913968,,316.0757029573771,,119.49832634811251,study,672,obj3start,1.0,423,1,1660.0,1380.0,1100.0,,1087.1,650.0,210.0,210.0,,91.2
7,1,2.0,18.0,36,1038,obj2end,ESACC,18.0,616.3540865444148,803.3490399571035,104.78721296036078,319.28933586952127,290.4141181141165,121.2339886335511,study,1004,obj3start,1.0,423,1,1660.0,1380.0,1100.0,1371.0,1084.2,650.0,210.0,210.0,105.6,89.8
8,1,2.0,18.0,310,1348,,EFIX,18.0,,606.6163532250017,,100.71444782155139,,302.04536083177965,study,1040,obj2start,1.0,423,1,1660.0,1380.0,1100.0,,1384.8,650.0,210.0,210.0,,109.4
9,1,2.0,18.0,46,1394,screen,ESACC,18.0,201.18262847472693,594.1052516179268,380.1505622776323,87.41309970479253,623.123141923007,299.09371441071767,study,1350,obj2start,1.0,423,1,1660.0,1380.0,1100.0,1675.3,1386.1,650.0,210.0,210.0,449.4,122.8
10,1,2.0,18.0,774,2168,,EFIX,18.0,,158.256153118923,,412.34574085347367,,645.269718799821,study,1396,obj1start,1.0,423,1,1660.0,1380.0,1100.0,,1679.9,650.0,210.0,210.0,,493.0
11,1,2.0,18.0,50,2218,obj2end,ESACC,18.0,450.7110493431463,154.0572945368054,109.23575421994396,406.6615914983858,277.90007196832454,636.8340835727938,study,2170,obj1start,1.0,423,1,1660.0,1380.0,1100.0,1356.6,1668.9,650.0,210.0,210.0,316.7,496.2
12,1,2.0,18.0,228,2446,,EFIX,18.0,,541.0985584900408,,69.36605798227252,,215.97141014495418,study,2220,obj2start,1.0,423,1,1660.0,1380.0,1100.0,,1314.7,650.0,210.0,210.0,,233.4
13,1,2.0,18.0,22,2468,obj3end,ESACC,18.0,660.1056430602605,566.5226738622207,195.4161201129528,78.71429349235123,87.56403371247809,201.30558859604466,study,2448,obj2start,1.0,423,1,1660.0,1380.0,1100.0,1185.5,1301.3,650.0,210.0,210.0,191.1,211.5
14,1,2.0,18.0,260,2728,,EFIX,18.0,,718.1080211221707,,248.36893928186748,,64.18044873635587,study,2470,obj3start,1.0,423,1,1660.0,1380.0,1100.0,,1137.2,650.0,210.0,210.0,,157.7
15,1,2.0,18.0,34,2762,obj2end,ESACC,18.0,521.9697021858643,726.6215658786905,6.661080993352432,254.89389949545682,285.4266455676485,67.43070517205048,study,2730,obj3start,1.0,423,1,1660.0,1380.0,1100.0,1385.4,1132.1,650.0,210.0,210.0,206.1,150.7
16,1,2.0,18.0,186,2948,,EFIX,18.0,,502.94390343257965,,37.102156271569896,,317.10025228624454,study,2764,obj2start,1.0,423,1,1660.0,1380.0,1100.0,,1417.1,650.0,210.0,210.0,,209.6
17,1,2.0,18.0,40,2988,screen,ESACC,18.0,320.8883294855081,498.4663880343388,291.93375960994996,39.45554460402234,559.2935901653085,319.3191820107273,study,2950,obj2start,1.0,423,1,1660.0,1380.0,1100.0,1646.4,1419.3,650.0,210.0,210.0,329.4,213.5
18,1,2.0,18.0,1026,4014,,EFIX,18.0,,255.96181355819465,,327.59189550414715,,580.8790321572988,study,2990,screen,1.0,423,1,1660.0,1380.0,1100.0,,1650.9,650.0,210.0,210.0,,394.2
19,1,2.0,1.0,290,292,,EFIX,1.0,,709.9280667785997,,741.753233899253,,126.65646450142212,study,4,obj3start,2.0,423,2,260.0,1660.0,820.0,,943.5,210.0,210.0,430.0,,401.9
20,1,2.0,1.0,24,316,obj3end,ESACC,1.0,596.2182905614352,706.5894493975975,830.7082821303758,740.6407023651886,86.46531096341468,127.78360614726755,study,294,obj3start,2.0,423,2,260.0,1660.0,820.0,840.5,942.4,210.0,210.0,430.0,346.0,393.3
21,1,2.0,1.0,134,450,,EFIX,1.0,,554.9310677913069,,865.4181012666652,,104.67325350823866,study,318,obj3start,2.0,423,2,260.0,1660.0,820.0,,802.5,210.0,210.0,430.0,,326.8
22,1,2.0,1.0,52,502,obj1end,ESACC,1.0,48.5782873308642,547.0237380589622,1434.8100396916661,868.3058044260674,622.7325669980654,120.99161127946017,study,452,obj3start,2.0,423,2,260.0,1660.0,820.0,225.6,797.6,210.0,210.0,430.0,244.3,311.1
23,1,2.0,1.0,386,888,,EFIX,1.0,,171.4190771180384,,1483.8815653548636,,737.5774535599634,study,504,obj1start,2.0,423,2,260.0,1660.0,820.0,,184.1,210.0,210.0,430.0,,56.3
