Subj,RT,response code,affect,up/in,old/new
90,1110,2,l,up,2
90,1835,2,l,up,2
90,1377,1,l,up,2
90,922,1,s,up,1
90,2969,1,l,in,2
90,1865,2,l,in,2
90,1679,1,h,in,1
90,1312,1,l,up,2
90,1331,2,l,up,2
90,1057,2,l,up,2
90,1657,1,s,up,1
90,4402,1,l,in,2
90,912,2,h,in,1
90,1590,1,l,in,2
90,1040,1,l,in,2
90,770,2,s,up,1
90,1007,1,s,up,1
90,1843,1,h,in,1
90,1006,2,h,in,1
90,587,1,h,in,1
90,657,2,l,in,2
90,898,1,s,in,1
90,929,2,h,up,1
90,1565,2,h,up,1
90,999,1,l,in,2
90,2338,2,l,in,2
90,2847,2,l,in,2
90,945,2,l,up,2
90,1807,2,l,up,2
90,674,1,s,up,1
90,440,1,s,up,1
90,1068,1,s,in,1
90,1331,1,l,in,2
90,891,1,l,up,2
90,643,1,s,in,1
90,1450,1,l,up,2
90,665,2,l,up,2
90,2325,2,l,in,2
90,817,1,l,in,2
90,2018,2,s,up,1
90,568,1,s,in,1
90,1411,2,l,up,2
90,2386,2,l,up,2
90,2942,1,l,in,2
90,696,2,l,up,2
90,718,1,h,up,1
90,454,1,h,in,1
90,981,1,h,up,1
90,528,2,l,in,2
90,692,2,h,in,1
90,493,1,h,up,1
90,408,2,l,up,2
90,1543,2,s,up,1
90,593,2,h,up,1
90,2164,1,l,up,2
90,405,2,h,up,1
90,1110,1,s,in,1
90,792,2,s,in,1
90,601,1,l,in,2
90,499,1,s,in,1
90,712,2,s,in,1
90,776,2,h,up,1
90,958,1,l,in,2
90,917,2,h,in,1
94,2155,1,s,up,1
94,963,1,h,up,1
94,1923,1,h,in,1
94,2045,2,l,up,2
94,2084,2,l,up,2
94,566,1,l,up,2
94,1336,1,l,in,2
94,1448,1,l,in,2
94,643,2,l,up,2
94,732,1,l,in,2
94,1978,2,s,up,1
94,793,1,l,up,2
94,942,1,l,in,2
94,1243,2,h,in,1
94,1933,2,l,up,2
94,1296,2,s,up,1
94,357,1,l,in,2
94,993,1,h,up,1
94,1311,2,s,up,1
94,646,1,l,in,2
94,506,1,s,in,1
94,761,2,h,in,1
94,1042,2,l,up,2
94,1836,2,h,up,1
94,1308,1,s,up,1
94,2363,1,l,in,2
94,2150,2,h,in,1
94,1040,2,l,up,2
94,551,1,s,in,1
94,708,2,l,up,2
94,833,2,l,in,2
94,681,2,s,in,1
94,1382,1,l,up,2
94,929,1,s,in,1
94,3801,2,h,in,1
94,1798,1,l,in,2
94,551,1,l,in,2
94,978,2,s,up,1
94,1920,1,l,up,2
94,2719,1,l,up,2
94,722,2,l,up,2
