SUBID,PIC,CONDITION,B_BT1 dist,B_R dist,BT1_R dist,B_BT2 dist,BT1_BT2 dist,BT2_R dist,ErrorD1-3,ErrorD2-3,ErrorD1-2,T1bias-accuracy,T2bias-accuracy,B_pract,280pix,Day1mem_RR,Day2mem_RR,Day3mem_RR,ConSuccess_RR,Day-3R,RC Day1mem,Day-2T1,Day-3T1,NR Day1mem,t1biasdiff_RR,t2biasdiff_RR,r order,t2worset3,ridworset3
401,109,1,7.071068,44.82187,49.92995,34.0147,41,27.01851,26.94363,-10.80717,37.7508,6.985297,-6.996191,2,1,1,2,3,0,5,0,7,8,0,0,0,6,1,0
401,44,1,18.78829,32.20248,14.21267,22.2036,7.071068,16.49242,3.415309,-9.998881,13.41419,-15.13254,-5.711181,5,1,1,2,3,4,5,0,7,8,0,0,0,29,1,0
401,106,1,23.02173,37.94733,17.02939,33.73426,11.6619,5.830952,10.71253,-4.213076,14.9256,-22.07235,-27.9033,3,1,1,2,3,4,5,0,7,8,0,0,0,123,1,0
401,86,1,25.17936,19.31321,44.14748,21.63331,19.84943,39.05125,-3.546049,2.3201,-5.866149,-1.783874,17.41794,3,1,1,2,3,4,5,0,7,8,0,0,0,37,0,1
401,1,1,34.52535,421.0998,388.9589,172.0291,142.6955,251.9623,137.5037,-249.0707,386.5744,-29.33359,79.93323,6,1,1,0,0,0,0,0,0,0,0,12,0,124,1,1
401,149,1,36.67424,184.8946,180.2692,39.05125,2.828427,181.8048,2.377007,-145.8433,148.2203,-36.22282,142.7536,2,1,1,0,3,4,0,0,0,8,0,12,0,51,1,1
401,147,1,41.4367,134.618,116.4002,365.6364,331.3201,248,324.1997,231.0185,93.18128,-34.31634,-117.6364,2,1,1,2,0,0,0,0,0,0,0,12,13,69,0,0
401,47,1,48.30114,108.5587,65.9242,107.2986,65.51336,3.162278,58.99751,-1.260091,60.2576,-41.78529,-104.1364,2,1,1,2,3,0,5,0,7,8,0,12,13,23,1,0
401,94,1,49.65884,43.04649,23.08679,64.7611,18.97367,26.24881,15.10226,21.71461,-6.61235,-45.78743,-38.51229,3,1,1,2,3,0,5,0,7,8,0,12,0,77,0,0
401,34,1,54.91812,104.3504,71.19691,115.1086,85.70881,15.13275,60.19052,10.75827,49.43225,-29.39983,-99.9759,2,1,1,2,3,0,5,0,7,8,0,12,13,17,0,0
401,120,1,58.46366,90.09439,32.01562,65.30697,7,25.01999,6.843304,-24.78743,31.63073,-58.30697,-40.28698,3,1,1,2,3,4,5,0,7,8,0,12,0,56,1,0
401,25,1,73.57309,137.9928,167.5858,162.2005,89.27486,240.0771,88.6274,24.20774,64.41966,-72.92564,77.87658,2,1,1,2,0,0,0,0,0,0,0,12,0,18,0,1
401,29,1,74.2159,515.5502,578.4981,228.0789,212.6405,515.5386,153.863,-287.4713,441.3343,-15.43839,287.4596,2,1,1,0,0,0,0,0,0,0,0,0,0,31,1,1
401,169,1,84.58132,47.42362,83.21658,27.58623,79.93122,19.84943,-56.99509,-19.83739,-37.1577,52.34499,-7.736795,2,1,1,2,3,4,5,0,0,8,0,0,0,61,1,0
401,159,1,93.38094,15.65248,78.51751,212.0849,120.4159,198.0025,118.7039,196.4324,-77.72846,-91.66894,-14.08236,2,1,1,2,0,0,0,0,7,0,0,12,0,139,0,0
401,81,1,100.896,62.1289,133.4166,104.0769,20.88061,126.5701,3.180909,41.948,-38.76709,-83.19628,22.49324,3,1,0,2,3,4,0,0,0,8,0,12,0,12,0,1
401,80,1,106.5692,526.2433,544.4897,490.0092,511.4782,38.27532,383.44,-36.23411,419.6741,21.46907,-451.7339,2,1,0,0,0,0,5,0,0,0,0,0,13,141,1,0
401,2,1,128.1601,111.018,31.62278,127.9531,19.31321,19,-0.2069398,16.9351,-17.14204,-108.6399,-108.9531,4,1,0,2,3,4,5,0,7,8,0,12,13,58,0,0
401,63,1,151.4761,437.5489,327.5515,349.8128,279.3313,132.0152,198.3367,-87.73605,286.0728,-70.48146,-217.7977,4,1,0,0,0,0,0,0,0,0,0,12,13,34,1,0
401,36,1,161.9877,291.4464,148.3678,280.0446,141.7921,15.29706,118.057,-11.40175,129.4587,-138.2525,-264.7476,4,1,0,0,0,0,5,0,0,0,0,12,13,45,1,0
401,122,1,173.8074,193.8298,20.61553,156.8471,127.8828,143.014,-16.96031,-36.98276,20.02246,-28.9643,-13.83307,4,1,0,0,0,4,0,0,7,0,0,12,0,97,1,0
401,22,1,213.3565,281.1548,216.3631,560.63,612.0662,407.8946,347.2735,279.4752,67.79825,51.43617,-152.7354,4,1,0,0,0,0,0,0,0,0,0,0,13,119,0,0
401,3,1,238.9477,290.6217,58.5235,181.4084,381.7342,419.9476,-57.53931,-109.2134,51.67405,200.3258,238.5392,2,1,0,0,0,4,0,0,7,0,0,0,0,70,1,1
401,20,1,243.559,128.9729,358.2192,141.6757,375.8258,21.2132,-101.8833,12.70282,-114.5862,234.1501,-120.4625,7,1,0,2,3,4,5,0,0,0,0,0,13,149,0,0
401,129,1,264.781,72.47068,337.2492,201.0622,465.7564,128.7245,-63.71886,128.5915,-192.3104,264.6942,-72.33767,4,1,0,2,0,4,0,0,0,0,0,0,13,35,0,0
401,137,1,336.8561,269.5366,80.95678,216.0856,134.4805,56.0803,-120.7704,-53.45101,-67.31941,-81.60515,-160.0053,2,0,0,0,0,4,0,0,0,0,0,12,13,40,1,0
401,74,1,363.6069,322.1878,44.28318,460.8481,107.0747,151.0033,97.2412,138.6603,-41.4191,-353.7734,-309.8448,4,0,0,0,0,0,0,0,7,0,0,12,13,92,0,0
401,14,1,447.6394,518.8111,75.89466,488.9836,44.27189,31.62278,41.34428,-29.8275,71.17178,-444.7118,-457.3609,2,0,0,0,0,0,5,0,7,8,0,12,13,132,1,0
401,51,1,480.2343,94.57801,405.5613,172.9653,493.6416,233.311,-307.269,78.3873,-385.6563,320.6763,60.34564,3,0,0,2,0,4,0,0,0,0,0,0,0,68,0,1
401,15,1,559.8661,540.5599,31.06445,530.9322,48.25971,17.20465,-28.93386,-9.627696,-19.30616,-482.6725,-513.7275,2,0,0,0,0,4,5,0,7,8,0,12,13,99,1,0
401,66,1,7.071068,195.4329,202.3561,54.56189,49.40648,232.6908,47.49082,-140.871,188.3618,-5.155414,178.1289,2,1,1,0,3,0,0,0,0,8,0,0,0,126,1,1
